Class,Subclass_Min,Subclass_Max,New Titles category
PL,3515,3515,"china, south asia, & east asia"
PL,3518,3518,"china, south asia, & east asia"
PL,3521,4001,"china, south asia, & east asia"
PL,4051,4054,"china, south asia, & east asia"
PL,4070,4075,"china, south asia, & east asia"
PL,4111,4251,"china, south asia, & east asia"
PL,4281,4587,"china, south asia, & east asia"
PL,4601,4799,"china, south asia, & east asia"
PL,5001,7511,"china, south asia, & east asia"
PL,8000,8844,egypt & north africa
PM,1,96,"china, south asia, & east asia"
